hgnc_symbol,uniprotswissprot
ERMP1,""
CCN2,P29279
STBD1,O95210
RNF146,""
GHRHR,Q02643
RNF146,Q9NTX7
ACY1,""
GUF1,Q8N442
PPOX,""
GUF1,""
GHRHR,""
GNPDA2,""
IL11RA,""
IL11RA,Q14626
GTF2H2C,Q6P1K8
GTF2H2C,""
NELL2,Q99435
GNPDA2,Q8TDQ7
NELL2,""
CRISP1,P54107
KIF5C,""
DEFB114,Q30KQ6
ARSJ,Q5FYB0
ARSJ,""
DEFB113,Q30KQ7
PPOX,P50336
DEFB110,Q30KQ9
DEFB112,""
PGAP2,Q9UHJ9
PTCHD4,Q6ZW05
PTCHD4,""
BRD4,O60885
IDH3B,O43837
IDH3B,""
BRD4,""
KERA,O60938
STX10,""
SH3TC1,""
ZKSCAN8,Q15776
PATL2,C9JE40
PATL2,""
STK4,""
SH3TC1,Q8TE82
GAL3ST2,""
SP140,Q13342
STX10,O60499
B4GALT3,O60512
ADGRB3,O60242
ADGRB3,""
OCLN,Q16625
OCLN,""
OR12D2,P58182
MAS1L,P35410
ADAMTS4,O75173
OR5V1,Q9UGF6
ADAMTS4,""
RHOG,P84095
OR12D3,Q9UGF7
NEU4,Q8WWR8
CNR1,""
PLEC,Q15149
CNR1,P21554
NDUFA3,""
DYTN,A2CJ06
FCER1G,""
SLC27A6,""
FKBP15,Q5T1M5
FCER1G,P30273
DYTN,""
NEU4,""
FKBP15,""
HLA-DOA,P06340
HLA-DOA,""
PLEC,""
STK4,Q13043
NUB1,Q9Y5A7
NUB1,""
GOLGA8B,A8MQT2
SLC27A6,Q9Y2P4
CALR,""
TOMM40L,Q969M1
GOLGA8B,""
CALR,P27797
ACY1,Q03154
CEBPB,""
CEBPB,P17676
TGOLN2,""
TGOLN2,O43493
"",Q9H489
BST2,""
ISOC1,Q96CN7
ISOC1,""
RETSAT,Q6NUM9
RETSAT,""
DMP1,Q13316
DMP1,""
RRM1,""
BST2,Q10589
TAS2R39,P59534
RMI1,Q9H9A7
TAS2R40,P59535
RTP5,""
RXRB,P28702
RTP5,Q14D33
ZNF622,Q969S3
PDCD6-AHRR,""
PCP4L1,A6NKN8
RXRB,""
PDCD1,Q15116
CFAP126,Q5VTH2
GPCPD1,""
PDCD1,""
TMCO5A,""
GJA5,P36382
TFPT,""
GPCPD1,Q9NPB8
GJA5,""
AQP7,""
GJA8,P48165
HSD17B8,Q92506
RAB3IP,Q96QF0
TMEM221,A6NGB7
RRM1,P23921
GSTK1,""
RING1,Q06587
TMCO5A,Q8N6Q1
NXNL1,Q96CM4
RAB3IP,""
CRYGD,P07320
AQP7,O14520
GOLGA6L4,A6NEF3
GOLGA6L4,""
CRYGC,P07315
MAN2A1,Q16706
SPP1,P10451
GPR89B,""
GSTK1,Q9Y2Q3
RASIP1,Q5U651
RPL29,""
RASIP1,""
FUT6,P51993
SPP1,""
LPIN1,Q14693
STC2,O76061
STC2,""
CD163L1,""
FUT6,""
OR2V2,Q96R30
ANXA2R,Q3ZCQ2
FUT5,Q11128
TEAD1,P28347
RPL29,P47914
TEAD1,""
MADCAM1,""
LPIN1,""
DUSP7,Q16829
DUSP7,""
AADACL2,""
TMEM139,Q8IV31
PRPF31,Q8WWY3
MADCAM1,Q13477
AADACL2,Q6P093
DIS3L,Q8TF46
DIS3L,""
CD163L1,Q9NR16
NOL6,Q9H6R4
NOL6,""
GPR89B,P0CG08
POC1A,Q8NBT0
VPS52,""
EXOSC2,""
CNOT1,A5YKK6
CASP2,""
WFS1,O76024
TPCN1,""
WFS1,""
CLHC1,Q8NHS4
CLHC1,""
CASP2,P42575
TIPIN,Q9BVW5
TAF2,Q6P1X5
TAF2,""
TIPIN,""
CNOT1,""
VPS52,Q8N1B4
BDH1,Q02338
EXOSC2,Q13868
ALAS1,P13196
BDH1,""
ALAS1,""
AFF1,P51825
AFF1,""
RPS18,""
TWF2,""
FAM131B,Q86XD5
TWF2,Q6IBS0
FAM181B,A6NEQ2
FAM131B,""
RPS18,P62269
APBB3,O95704
RNF208,Q9H0X6
MTIF2,P46199
MTIF2,""
B3GALT4,O96024
BSG,P35613
SLC38A7,Q9NVC3
SNAPC4,""
BSG,""
SNAPC4,Q5SXM2
FAM240B,A0A1B0GVZ2
SLC38A7,""
PPM1M,Q96MI6
PPM1M,""
ADH7,P40394
NR4A3,Q92570
MAP2K1,""
ADH7,""
MAP2K1,Q02750
MDH1,P40925
MDH1,""
YIPF7,""
YIPF7,Q8N8F6
WDR46,O15213
GRIN2D,O15399
UBE2W,""
WDR46,""
FAM83E,Q2M2I3
FAM83E,""
SNAPC5,O75971
TMC4,Q7Z404
NPFFR2,Q9Y5X5
NPFFR2,""
TBXA2R,P21731
GLYCTK,""
TBXA2R,""
TPCN1,Q9ULQ1
CACTIN,""
GLYCTK,Q8IVS8
INO80D,Q53TQ3
GOT2,P00505
SNAPC5,""
APBB3,""
INO80D,""
UBE2W,Q96B02
PFDN6,O15212
GOT2,""
PFDN6,""
RBL2,""
CACTIN,Q8WUQ7
PARD3,Q8TEW0
STX17,P56962
STX17,""
RBL2,Q08999
RNF157,""
ELOC,""
RNF157,Q96PX1
BAP1,Q92560
ELOC,Q15369
BAP1,""
TAS2R1,Q9NYW7
TAS2R1,""
TCAF2C,""
UBALD2,Q8IYN6
UBALD2,""
AKAP9,""
RPL4,P36578
RPL39L,Q96EH5
TMEM70,""
TMEM70,Q9BUB7
MFN2,O95140
DOK3,Q7L591
SNX17,Q15036
PRCP,P42785
PARD3,""
AKAP9,Q99996
MFN2,""
DOK3,""
PRCP,""
RPL4,""
KDM6B,O15054
LY96,Q9Y6Y9
SNX17,""
PIP5K1C,""
CORO1C,Q9ULV4
PIP5K1C,O60331
KDM6B,""
CORO1C,""
ST6GAL1,P15907
ZNF513,Q8N8E2
ST6GAL1,""
MUC20,Q8N307
PPP1R42,""
RGL2,O15211
MUC20,""
PPP1R42,Q7Z4L9
ZNF513,""
RPS23,P62266
RGL2,""
RPS23,""
SMIM40,Q5STR5
OR14J1,Q9UGF5
RBM12B,Q8IXT5
TMCO2,Q7Z6W1
HTT,""
ZNF7,""
KLF15,Q9UIH9
PPM1G,O15355
SLC22A7,""
DDIAS,""
ZMPSTE24,""
HYCC1,Q9BYI3
HTT,P42858
ZMPSTE24,O75844
ANKRD30A,Q9BXX3
HYCC1,""
ANKRD30A,""
AKAP8,O43823
DDIAS,Q8IXT1
AKAP8,""
DCP2,Q8IU60
SLC22A7,Q9Y694
DCP2,""
CFAP100,Q494V2
GPR85,P60893
CFAP100,""
GPR85,""
CRIP3,""
RPGRIP1L,Q68CZ1
RPGRIP1L,""
CRIP3,Q6Q6R5
FAM20A,Q96MK3
CNNM1,""
CNNM1,Q9NRU3
ZXDC,Q2QGD7
ZNF7,P17097
COL9A2,Q14055
FAM20A,""
ZXDC,""
NDUFS1,P28331
ZNF608,Q9ULD9
KLHL5,Q96PQ7
ZNF608,""
TUBB3,""
GOT1,P17174
KLHL5,""
TUBB3,Q13509
NDUFS1,""
NRBP1,Q9UHY1
NUDT1,P36639
PURG,Q9UJV8
NRBP1,""
ZWILCH,Q9H900
NUDT1,""
ARSG,Q96EG1
UROC1,Q96N76
ARSG,""
COL9A2,""
ALKAL1,Q6UXT8
RAB30,Q15771
C3orf22,Q8N5N4
ZWILCH,""
GRAMD1A,""
RAB30,""
ZFP69B,""
NRROS,Q86YC3
ZFP69B,Q9UJL9
ENPP1,P22413
GRAMD1A,Q96CP6
CASK,""
TTC1,Q99614
KRTCAP3,Q53RY4
EEF1B2,P24534
C8orf76,Q96K31
ENPP1,""
KRTCAP3,""
EEF1B2,""
TTC1,""
EIF4H,Q15056
AUNIP,Q9H7T9
PAK2,Q13177
PAK2,""
PAQR7,Q86WK9
SCGB1C1,Q8TD33
EIF4H,""
CMKLR2,P46091
ZHX1-C8orf76,Q96EF9
ZHX1-C8orf76,""
AFAP1L2,Q8N4X5
ADAMTS19,""
CEP19,Q96LK0
CEP19,""
AFAP1L2,""
MED13L,Q71F56
CMKLR2,""
TMEM53,""
CASK,O14936
ZHX1,Q9UKY1
ADAT1,Q9BUB4
FNDC4,Q9H6D8
ADAT1,""
MED13L,""
SIRT3,Q9NTG7
ZHX1,""
TMEM53,Q6P2H8
SIRT3,""
KIFC1,Q9BW19
KIFC1,""
AMZ2,Q86W34
ELMO1,Q92556
AMZ2,""
ZDBF2,Q9HCK1
ZDBF2,""
ARMH1,""
FAM83A,Q86UY5
NLRP6,P59044
RCHY1,Q96PM5
ARMH1,Q6PIY5
PHF1,""
CADM2,Q8N3J6
PGGHG,Q32M88
RFX2,P48378
IFT172,""
RFX2,""
RCHY1,""
PGGHG,""
COPB2,""
ARHGAP11A,""
IFITM5,A6NNB3
CASKIN2,Q8WXE0
C4orf54,D6RIA3
PLK2,Q9NYY3
PLK2,""
CASKIN2,""
UGT2B17,O75795
UGT2B17,""
ELMO1,""
UGT2B15,P54855
B4GALNT4,Q76KP1
OPTN,Q96CV9
PHF1,O43189
B4GALNT4,""
ACER1,Q8TDN7
OPTN,""
CLDN4,O14493
CNGB1,Q14028
GOLGA8H,P0CJ92
CNGB1,""
ALKBH7,Q9BT30
COPB2,P35606
OR9A4,Q8NGU2
TAMM41,""
ALKBH7,""
TSEN54,""
TACC3,""
GIN1,Q9NXP7
TSEN54,Q7Z6J9
LRRD1,A4D1F6
LRRD1,""
MUC4,""
OR2V1,Q8NHB1
RSPRY1,""
SLC24A5,Q71RS6
ANO9,A1A5B4
OR2V1,""
SLC24A5,""
CTXN2,P0C2S0
ATXN7L1,Q9ULK2
MTUS1,Q9ULD2
KIF2C,""
P2RY2,P41231
ATXN7L1,""
RSPRY1,Q96DX4
MBNL3,Q9NUK0
DNAI7,""
DNAI7,Q6TDU7
TACC3,Q9Y6A5
GTF2F1,P35269
GTF2F1,""
EMP2,P54851
MBNL3,""
C16orf82,""
ZNF319,Q9P2F9
ZNF319,""
P2RY6,Q15077
MTUS1,""
CUTA,O60888
ZNF688,P0C7X2
ZNF688,""
SLC25A41,Q8N5S1
LLGL2,""
KIF2C,Q99661
CXCL13,O43927
NAPEPLD,Q6IQ20
CUTA,""
ETFRF1,Q6IPR1
NAPEPLD,""
QARS1,""
ETFRF1,""
P2RY6,""
MCM10,Q7L590
MCM10,""
SLC25A23,""
IFITM1,""
IFITM1,P13164
RPS8,P62241
MANSC4,A6NHS7
RPS8,""
WAS,""
WAS,P42768
TRIML2,Q8N7C3
UCMA,Q8WVF2
TRIML2,""
LANCL2,Q9NS86
UCMA,""
LANCL2,""
FOXN4,Q96NZ1
FOXN4,""
SLC25A23,Q9BV35
CT45A1,Q5HYN5
PHYH,O14832
CT45A5,P0DMU8
EIF2B3,Q9NR50
EIF2B3,""
KCTD10,Q9H3F6
LLGL2,Q6P1M3
SCN3B,Q9NY72
SCN3B,""
PHYH,""
ACE2,""
KCTD10,""
ACE2,Q9BYF1
ZNF438,""
ZNF438,Q7Z4V0
HECTD3,Q5T447
ZNF202,O95125
TBC1D25,Q3MII6
CNEP1R1,Q8N9A8
ZNF202,""
CNEP1R1,""
IFT172,Q9UG01
SYNGAP1,""
TBC1D25,""
SUV39H2,""
ITPRIPL2,Q3MIP1
PRDM7,Q9NQW5
TFE3,P19532
PRDM7,""
SUV39H2,Q9H5I1
MEIG1,Q5JSS6
TMEM126B,Q8IUX1
SLC12A1,Q13621
SLC12A1,""
KMT2C,""
TMEM126B,""
UROD,""
SYNGAP1,Q96PV0
CERT1,""
TMEM126A,""
TMEM126A,Q9H061
UBAP1L,F5GYI3
UROD,P06132
UBAP1L,""
CCDC89,Q8N998
NIFK,Q9BYG3
NIFK,""
PLEKHG4,Q58EX7
IFITM3,""
IFITM3,Q01628
ZBTB9,""
GOLGA8F,P0DX52
ZBTB9,Q96C00
PLEKHG4,""
TSN,""
TSN,Q15631
NOL9,Q5SY16
KMT2C,Q8NEZ4
KCTD14,Q9BQ13
NDUFC2-KCTD14,""
NDUFC2-KCTD14,E9PQ53
TAS1R1,Q7RTX1
THRSP,Q92748
TAS1R1,""
NUP43,Q8NFH3
STAT5A,P42229
NUP43,""
STAT5A,""
NDUFC2,O95298
NDUFC2,""
GNPTG,""
LRP11,Q86VZ4
LRP11,""
RRP8,O43159
RRP8,""
ZBTB48,P10074
SMG8,Q8ND04
ZBTB48,""
RAET1G,Q6H3X3
SMG8,""
RAET1G,""
ACVR2A,P27037
SMIM5,Q71RC9
RNF227,A6NIN4
ULBP2,Q9BZM5
RNF227,""
OR4D2,P58180
GCSAM,Q8N6F7
LRRC8C,Q8TDW0
LRRC8C,""
GNPTG,Q9UJJ9
GCSAM,""
HERC2,O95714
CERT1,Q9Y5P4
EPHA8,P29322
IGFBP1,""
TLNRD1,Q9H1K6
IGFBP1,P08833
ILK,Q13418
SLC9C1,Q4G0N8
FBN3,""
ILK,""
FBN3,Q75N90
SLC9C1,""
QARS1,P47897
IGFBP3,P17936
ANKDD1B,""
ORC4,O43929
IGFBP3,""
ANKDD1B,A6NHY2
ORC4,""
MEGF11,A6BM72
ACSM2B,Q68CK6
SNX14,""
ACSM2B,""
UBE3B,Q7Z3V4
HEATR1,Q9H583
FKBP9,O95302
INAFM2,P0DMQ5
HEATR1,""
PHGR1,C9JFL3
UBE3B,""
MRPL17,Q9NRX2
MT1HL1,P0DM35
MRPL17,""
DISP2,A7MBM2
FKBP9,""
ACSM3,""
ADGRL3,Q9HAR2
RP9,""
RP9,Q8TA86
MBD5,Q9P267
FAS,""
FAS,P25445
MBD5,""
STX12,Q86Y82
STX12,""
BAHD1,Q8TBE0
ADGRL3,""
DCHS1,Q96JQ0
EEF1D,P29692
ZNF138,""
EEF1D,""
HDAC6,Q9UBN7
CHST14,Q8NCH0
ALG8,""
CHST14,""
HDAC6,""
ZNF138,P52744
DNAH5,Q8TE73
PPP1R8,Q12972
DNAH5,""
GARIN1A,""
ACSM3,Q53FZ2
GARIN1A,Q6NXP2
AKAP8L,Q9ULX6
MMAB,Q96EY8
PPP1R8,""
MMAB,""
IVD,P26440
AKAP8L,""
CDK5RAP2,Q96SN8
THEMIS2,Q5TEJ8
SGMS2,Q8NHU3
IVD,""
RGPD5,Q99666
LHFPL3,""
LHFPL3,Q86UP9
SGMS2,""
THUMPD1,Q9NXG2
RGPD5,""
THEMIS2,""
CDK5RAP2,""
THUMPD1,""
SEPTIN9,Q9UHD8
IL2RA,P01589
ERCC8,Q13216
IL2RA,""
RSRC2,Q7L4I2
ERCC8,""
SLC25A40,Q8TBP6
SLC25A40,""
ALG8,Q9BVK2
REXO5,""
MYO5A,Q9Y4I1
RSRC2,""
RPA2,P15927
RPA2,""
RBM17,Q96I25
MYO5A,""
RBM17,""
MALL,Q13021
NDRG2,Q9UN36
DBF4,Q9UBU7
MALL,""
DBF4,""
REXO5,Q96IC2
NDRG2,""
MFAP2,P55001
SRI,P30626
SRI,""
BLTP1,""
YJU2B,P13994
KCNIP4,""
CARTPT,Q16568
BLTP1,Q2LD37
ACSM1,Q08AH1
STEAP4,Q687X5
KNTC1,""
YJU2B,""
STEAP4,""
ACSM1,""
ATP13A2,Q9NQ11
LRRC32,Q14392
MRI1,Q9BV20
UGT2B15,""
LRRC32,""
STPG3,""
C19orf53,Q9UNZ5
KNTC1,P50748
TSKU,""
FAM86B2,P0C5J1
STPG3,Q8N7X2
CHMP6,""
ABAT,""
C19orf53,""
TSKU,Q8WUA8
ATP13A2,""
LAMB2,P55268
CHMP6,Q96FZ7
TMPRSS11E,""
NPHP1,O15259
PFKFB3,Q16875
OSR2,Q8N2R0
PFKFB3,""
HCAR2,Q8TDS4
LAMB2,""
HCAR3,P49019
OSR2,""
HCAR1,Q9BXC0
CCDC71,Q8IV32
SNX14,Q9Y5W7
AATK,""
KLHDC8B,Q8IXV7
NPHP1,""
AATK,Q6ZMQ8
CIMIP7,H3BNL1
CIMIP7,""
OTOP1,Q7RTM1
TMEM128,Q5BJH2
ACER3,""
CLRN1,P58418
CCDC62,Q6P9F0
RPS3A,""
YTHDC1,Q96MU7
PFKFB1,P16118
CLRN1,""
CCDC62,""
ABAT,P80404
RPS3A,P61247
YTHDC1,""
PFKFB1,""
ACER3,Q9NUN7
ZBTB49,""
SH3D19,Q5HYK7
ZBTB49,Q6ZSB9
SH3D19,""
TEPSIN,""
BEX4,Q9NWD9
TEPSIN,Q96N21
LCLAT1,""
TMEM186,Q96B77
PRSS48,""
LCLAT1,Q6UWP7
B3GNT6,""
CCL25,O15444
CCL25,""
CCN1,O00622
B3GNT6,Q6ZMB0
GRIK2,Q13002
CCN1,""
GRIK2,""
GZMB,P10144
GALK1,P51570
GZMB,""
GALK1,""
WWC3,Q9ULE0
KANTR,A0A1W2PQU2
HHIPL2,Q6UWX4
ACAD11,Q709F0
TCP11X1,""
BHLHA9,Q7RTU4
STX18,""
PALD1,Q9ULE6
PALD1,""
TRARG1,Q8IXB3
TCP11X1,B4DZS4
ACAD11,""
STX18,Q9P2W9
ACSBG2,""
HIP1R,O75146
TCP11X2,""
TCP11X2,Q5H9J9
CCAR2,Q8N163
CCAR2,""
CARHSP1,Q9Y2V2
TAF1A,Q15573
NPHP3-ACAD11,""
HIP1R,""
ACKR4,Q9NPB9
ACKR4,""
TAF1A,""
ATXN1,P54253
VPS37B,Q9H9H4
ATXN1,""
VPS37B,""
CARHSP1,""
ANKRD33,""
KLHL13,Q9P2N7
SNRNP48,Q6IEG0
NSG1,P42857
SNRNP48,""
ANKRD33,Q7Z3H0
HSD17B4,""
CAPN5,O15484
SYNE2,""
CAPN5,""
KLHL13,""
CRIPTO3,P51864
CCND3,P30281
UNC13B,""
MRPL28,Q13084
OMP,P47874
GATA1,""
GATA1,P15976
SEMA4G,Q9NTN9
MRPL28,""
SEMA4G,""
TRPC5OS,A6NMA1
ACSBG2,Q5FVE4
NOSTRIN,Q8IVI9
OGT,""
ACVR1B,P36896
IL2RB,""
IL2RB,P14784
ACVR1B,""
PRDM9,""
UNC13B,O14795
OGT,O15294
PGAP6,Q9HCN3
PGAP6,""
SPINT2,""
MIA3,Q5JRA6
STMN4,Q9H169
MIA3,""
KIT,""
CYP17A1,P05093
CYP17A1,""
KIT,P10721
STMN4,""
TAMALIN,Q7Z6J2
CCND3,""
BORCS7,Q96B45
C2CD3,Q4AC94
ZBED4,O75132
TAMALIN,""
TMEM40,Q8WWA1
ZBED4,""
SPINT2,O43291
AIDA,Q96BJ3
BORCS7-ASMT,""
PMP2,P02689
NR4A1,""
C2CD3,""
PMP2,""
FABP9,Q0Z7S8
TMEM40,""
ANKRD66,B4E2M5
ANKRD66,""
HS3ST5,Q8IZT8
H4C8,P62805
ECM2,O94769
FABP4,P15090
PPP1R14A,""
AS3MT,Q9HBK9
FABP4,""
ECM2,""
HSD17B4,P51659
NT5C2,""
RNF39,Q9H2S5
RPS6KA6,Q9UK32
NT5C2,P49902
PPP1R14A,Q96A00
OR2J1,Q9GZK6
NME4,O00746
NME4,""
OR2H1,Q9GZK4
RPL32,P62910
NR4A1,P22736
ALG12,Q9BV10
RPL32,""
ALG12,""
OR2J2,""
OR2J2,O76002
CCDC82,""
EHBP1,Q8NDI1
EHBP1,""
MAN2B2,""
MAN2B2,Q9Y2E5
BROX,Q5VW32
UNC5B,Q8IZJ1
S100P,P25815
BROX,""
MRFAP1L1,Q96HT8
BLOC1S4,Q9NUP1
SLC29A3,Q9BZD2
KIAA0232,""
SLC29A3,""
ERMAP,""
LHX6,Q9UPM6
DECR2,""
CCDC82,Q8N4S0
KIAA0232,Q92628
NICOL1,Q5BLP8
LHX6,""
STAB2,Q8WWQ8
RETREG1,""
DECR2,Q9NUI1
STAB2,""
ADAM22,Q9P0K1
IMPA1,P29218
STATH,P02808
NEK1,Q96PY6
CRELD2,""
ADAM22,""
KIF5A,""
NEK1,""
ERMAP,Q96PL5
RETREG1,Q9H6L5
C17orf67,Q0P5P2
IMPA1,""
DGKE,P52429
CRELD2,Q6UXH1
GSK3B,P49841
ZNF691,Q5VV52
HTN3,P15516
KIF5A,Q12840
TMEM45B,Q96B21
ERP44,Q9BS26
MT1G,P13640
GSK3B,""
ERP44,""
HTN3,""
ZNF691,""
MT1G,""
PROP1,""
TLE7,A0A1W2PR48
DGKE,""
SLC10A5,Q5PT55
DISP1,""
HPF1,Q9NWY4
ZNF19,""
DISP1,Q96F81
PPP1R26,Q5T8A7
RDH5,""
NFKB2,Q00653
BRD1,""
YIF1B,Q5BJH7
RDH5,Q92781
HSD3B1,""
TRIM25,""
PIERCE1,Q5BN46
HSD3B1,P14060
ZNF19,P17023
TRIM25,Q14258
PIERCE1,""
BRD1,O95696
YIF1B,""
ZNF697,Q5TEC3
GSAP,A4D1B5
CHST4,Q8NCG5
LCN1,P31025
ZNF750,Q32MQ0
VRK2,Q86Y07
GSAP,""
ZNF750,""
HMGCS2,P54868
RAB6B,Q9NRW1
RAB6B,""
C19orf33,Q9GZP8
OBP2A,Q9NY56
DDX60L,Q5H9U9
APOL3,O95236
METRNL,Q641Q3
ZFAND1,Q8TCF1
FUT1,P19526
METRNL,""
OBP2A,""
DDX60L,""
TAT,P17735
C3orf62,Q6ZUJ4
C3orf62,""
MARVELD3,""
MARVELD3,Q96A59
REG4,Q9BYZ8
REG4,""
UGT2A2,P0DTE5
VRK2,""
ADAM30,Q9UKF2
APOL3,""
ATF4,P18848
STON1,Q9Y6Q2
TRMT1,Q9NXH9
ATF4,""
STON1,""
SLK,Q9H2G2
CCDC158,Q5M9N0
CCDC158,""
SLK,""
TIGD2,Q4W5G0
PHLPP2,""
PDK2,Q15119
CERS6,Q6ZMG9
PDK2,""
TRMT1,""
CD63,""
DDR1,""
PHLPP2,Q6ZVD8
ZFAND1,""
NKD2,Q969F2
PTPN12,Q05209
CLIP3,Q96DZ5
TNPO1,""
NUP214,""
SAMD14,Q8IZD0
CLIP3,""
TNPO1,Q92973
SAMD14,""
CHMP4C,Q96CF2
USP4,Q13107
THAP8,Q8NA92
SLC12A7,""
PTPN12,""
PRDM10,Q9NQV6
THAP8,""
PRDM10,""
UBE2F,""
PPP1R9B,Q96SB3
POLR2I,P36954
USP4,""
RBPJ,""
GINS4,""
GINS4,Q9BRT9
POLR2I,""
SRA1,""
TBCB,""
NUP214,P35658
FERD3L,Q96RJ6
CD63,P08962
SRA1,Q9HD15
COL17A1,Q9UMD9
CYREN,Q9BWK5
SMN2,Q16637
COL17A1,""
CYREN,""
SMN2,""
JADE2,""
TMEM140,Q9NV12
TBCB,Q99426
CEP72,""
ST14,Q9Y5Y6
RBPJ,Q06330
GPAT4,Q86UL3
CLP1,Q92989
PHGDH,O43175
CLP1,""
GPAT4,""
ZBTB43,O43298
ZBTB43,""
PHGDH,""
JADE2,Q9NQC1
TLE3,Q04726
SYNE2,Q8WXH0
SPRING1,Q9H741
SPRING1,""
HRK,O00198
CAPNS1,""
ANGPTL2,Q9UKU9
HRK,""
OR6C70,A6NIJ9
WDR55,Q9H6Y2
OR6C68,A6NDL8
COL1A1,P02452
FOXD4L5,Q5VV16
WDR55,""
UBE2F,Q969M7
TMEM44,Q2T9K0
TMEM44,""
OR2Y1,Q8NGV0
GPR151,Q8TDV0
PCDHGA1,Q9Y5H4
PCDHGA2,Q9Y5H1
STN1,Q9H668
COL1A1,""
AP1G1,O43747
STN1,""
AP1G1,""
C4orf3,Q8WVX3
TLE3,""
TMEM92,Q6UXU6
AKIP1,Q9NQ31
FABP2,P12104
PCDHGA3,Q9Y5H0
WDR91,""
PCDHGA3,""
WDR91,A4D1P6
PCDHGB1,Q9Y5G3
AKIP1,""
PDLIM1,O00151
PCDHGA4,Q9Y5G9
PCDHGB2,Q9Y5G2
OR2A42,Q8NGT9
OR2A7,Q96R45
PCDHGA5,Q9Y5G8
INSRR,P14616
ACSM6,""
OR2A1,Q8NGT9
PCDHGB3,Q9Y5G1
PCDHGA6,Q9Y5G7
SCNN1A,P37088
PCDHGA7,Q9Y5G6
ACSM6,Q6P461
SCNN1A,""
ARHGEF5,""
XYLT2,Q9H1B5
XYLT2,""
LRRC47,Q8N1G4
LRRC47,""
USP53,""
CAPNS1,P04632
C11orf16,Q9NQ32
PCDHGB4,Q9UN71
PCDHGA8,Q9Y5G5
USP53,Q70EK8
C11orf16,""
VSTM4,Q8IW00
GTF2H2,Q13888
MRPL27,""
FAM170B,A6NMN3
LRRC18,Q8N456
PCDHGA9,Q9Y5G4
MRPL27,Q9P0M9
PCDHGA10,Q9Y5H3
PCDHGB7,Q9Y5F8
ZNF468,Q5VIY5
CYP2C18,P33260
ZNF468,""
TMEM9B,Q9NQ34
PCDHGA11,Q9Y5H2
WDR62,O43379
GOLGA7,""
WDR62,""
EME1,Q96AY2
EME1,""
TMEM9B,""
LRRC59,""
ARHGEF5,Q12774
LRRC59,Q96AG4
NOBOX,""
NOBOX,O60393
SGCA,""
PCDHGA12,O60330
LTBR,P36941
GTF2H2,""
OR2A5,Q96R48
OR2A25,A4D2G3
PCDHGC3,Q9UN70
LTBR,""
OR2A12,Q8NGT7
OR2A14,Q96R47
ECE2,P0DPD6
RFC1,P35251
KGD4,P82909
KGD4,""
SH3KBP1,Q96B97
RFC1,""
RBM33,Q96EV2
SERF1B,O75920
ECE2,""
SERF1B,""
SH3KBP1,""
ABT1,Q9ULW3
TAPBPL,Q9BX59
BTN2A1,""
SGCA,Q16586
BTN2A1,Q7KYR7
TAPBPL,""
PCDHGC3,""
DHRS4L2,""
BTN1A1,Q13410
GOLGA7,Q7Z5G4
RBM33,""
PCDHGC4,Q9Y5F7
SCUBE2,""
SCUBE2,Q9NQ36
ARNT2,Q9HBZ2
SHH,Q15465
PCDHGC4,""
SHH,""
ARNT2,""
PCDHGC5,Q9Y5F6
EFCAB3,Q8N7B9
EFCAB3,""
NAIP,""
COL25A1,""
DHRS4L2,Q6PKH6
METTL2A,""
TBCE,""
METTL2A,Q96IZ6
COL25A1,Q9BXS0
SLC6A2,P23975
ARHGAP39,Q9C0H5
SLC6A2,""
SNRPA1,P09661
SNRPA1,""
CLEC3A,""
CLEC3A,O75596
MCCC2,""
HDAC3,O15379
RNF32,""
HDAC3,""
CD9,P21926
ERCC4,""
ERMARD,""
ERCC4,Q92889
RNF32,Q9H0A6
RASGEF1B,Q0VAM2
MRC2,Q9UBG0
CD9,""
RELL2,Q8NC24
CYP1A1,P04798
RASGEF1B,""
MRC2,""
CYP1A1,""
RELL2,""
PCDHGB5,Q9Y5G0
TAF9,Q16594
AHRR,""
DMTN,""
BDP1,""
NKX2-4,Q9H2Z4
ZNG1E,""
TAF9,""
NKX2-2,O95096
PAM,""
PCBP4,P57723
TGM5,O43548
OR4M2,Q8NGB6
ATP5F1B,P06576
PAM,P19021
ATP5F1B,""
GOLGA6B,A6NDN3
SMN1,""
LMBR1,Q8WVP7
SMN1,Q16637
PCBP4,""
BRF1,Q92994
LMBR1,""
SPATA2,Q9UM82
ERMARD,Q5T6L9
ZNF131,""
SERF1A,O75920
SERF1A,""
ARAP2,Q8WZ64
RNF114,""
ARAP2,""
POLR3A,O14802
POLR3A,""
DYNLT2,Q8IZS6
RNF114,Q9Y508
DENND5A,Q6IQ26
ATP10A,O60312
BRF1,""
SNAI1,O95863
NOM1,Q5C9Z4
ATP10A,""
MNX1,""
MCF2,P10911
ZNF131,P52739
DENND5A,""
MNX1,P50219
MCF2,""
LPCAT1,""
PTGES3,""
RPS24,""
AMBN,Q9NP70
RPS24,P62847
PTGES3,Q15185
C5orf63,A6NC05
C5orf63,""
SPANXN4,Q5MJ08
TBCE,Q15813
SPANXN4,""
MAGEB16,A2A368
MAGEB16,""
TENT5D,Q8NEK8
OPN1MW3,P0DN78
H2AL3,A0A3B3IU63
MAGEB6B,A0A0J9YX57
CLPTM1L,Q96KA5
SPANXA1,Q9NS26
CLPTM1L,""
